,land_area,percent_city,percent_senior,physicians,hospital_beds,graduates,work_force,income,region,crime_rate
0,2779,64.74034393828659,19.08121004931641,21383,42474,56.82616985276102,1610.8997563655043,49369,1,40.24101841125707
1,17136,81.96338829795876,13.37299804752757,24292,7402,57.87693893658612,1546.0630896934651,8646,3,31.971923775790323
2,2543,98.14834843735736,18.264770012322696,895,1278,63.528595827431644,541.9201961580916,53258,2,82.24180731559899
3,23118,22.5715987824628,12.372167590174499,11863,44371,49.67761918564662,2350.256016000248,60069,2,32.554679198980196
4,3607,66.82648412935394,20.881840221114697,18165,47003,56.377809651652456,3691.624493468212,29416,2,83.8130667341718
5,12181,71.4772395089326,7.60792435543652,20711,63841,43.668790584462656,1527.8625379536093,28026,3,50.61259459139502
6,4467,96.44500666288346,15.615504737799384,14464,7493,55.04500906702542,1731.360055764146,45028,3,33.13559897784498
7,3004,71.8335511076312,9.541351531454257,9937,51105,58.48989721876689,121.31861741740641,55922,3,65.30372692723684
8,25439,97.96138967016007,12.282586749823398,1113,25258,31.053473312953997,1841.1969417487367,13612,3,45.6652789980826
9,22250,23.681820461437535,9.555495547030965,9263,14735,54.393882094620764,1132.896124052846,24079,2,80.77235063982498
10,23635,93.87705071010014,9.566098039368956,15246,34401,41.503978014903296,1664.8857459066887,34307,3,69.14962638266218
11,18775,78.87883968871255,10.969378785162856,17958,22233,39.7255857137544,3894.0880541648803,53775,1,76.10054202944549
12,4892,23.463085372433355,17.683129034412953,3077,42993,55.02035166155117,3608.8191221071293,18109,2,54.53277387041889
13,26092,33.36415983564817,10.947134211449146,15728,38876,50.476842907961824,1955.3680174593342,44064,2,41.19943777270503
14,5319,66.92013615129967,11.560713487118367,16731,15596,34.14436507998035,1489.040846256874,64992,3,64.02505124107086
15,15788,41.19836110294488,7.8048546018264675,24463,35531,34.35299888559752,4019.7960877839128,48574,2,67.19303647127289
16,23610,93.02719435028872,16.727767521838913,16137,65661,67.26898264962276,719.5503678884652,34778,2,76.20051433263966
17,19428,62.684123964023776,11.170017679790593,2261,45834,46.13951505844498,1754.2847679858621,5950,2,70.07495304813128
18,11089,58.52177009727759,4.783517588940491,5003,47875,39.76158418017823,1454.1122365275278,48977,3,67.2259001202208
19,6320,81.26359164314354,12.850475988900353,3559,6485,40.35802347269152,3819.631051063689,57960,1,56.6770501890599
20,22349,78.42311167142218,21.257264796988697,21917,21470,39.69832568131716,945.5381092379861,47171,2,39.09728011064956
21,23285,89.69499508666505,21.472919397334067,21727,33682,53.36469769294397,3499.8682134661713,45658,3,51.556052784752836
22,16760,65.97010229268471,16.73601454589616,4108,67057,41.44386548667633,149.75712995377867,42948,1,63.5615374063687
23,6058,58.40698937080672,3.801001959256655,4820,56232,48.366780670557915,3623.289912417666,38777,1,51.708110757678874
24,11002,32.06296483803416,20.947407687849527,24118,21431,43.59466516009287,3912.975832267583,47383,3,36.166879715069335
25,12279,76.6562924906844,15.497386315395794,11611,39816,35.218610249578816,2145.163611348792,55023,2,67.22964114959338
26,786,62.36548560694687,7.117365035474823,16063,49279,51.04000318371036,1495.3319292170565,10493,1,71.03282836293533
27,25072,91.66212946199784,5.309946081500535,18631,15153,32.14774500634285,907.0047031274869,63339,2,29.468371391593614
28,15272,61.51922442389456,3.9672453301063877,18564,66920,42.22987551569363,2422.468278587093,15066,1,59.47794607425813
29,23808,89.30535424441676,9.920677028246905,19652,37070,51.21985391227028,2941.2807256287088,63213,2,67.4842593762502
30,7781,38.77555663837519,19.16587835116382,11077,45944,30.765213826305008,1461.6717648855192,37430,3,53.09814418999925
31,2712,13.750566011505722,8.67757775464193,991,5509,65.30442720739428,829.438046904569,55851,2,29.315280280877126
32,5491,62.69365182410796,10.019259606980585,4473,1865,47.76560207941995,1510.02920947207,70293,3,48.652573213362956
33,12938,93.61003975326886,9.688116523377833,21918,36690,30.795596506356834,2209.7849901616564,72068,1,78.37874987773694
34,20400,21.159622765063226,15.964065313105849,25414,31556,62.316144046184775,3399.3951901504406,24186,1,29.23435061421613
35,23883,24.786410418611652,4.802275199623683,4601,11946,49.778571380504985,2174.1410168342995,34143,1,40.919927911385415
36,25782,85.00697389310355,13.019091383164177,19919,24885,59.96178222165696,3194.8972750350063,12678,3,46.56332112078509
37,10260,90.65150038984308,6.215720293422656,8332,19412,33.486040286329214,2151.0126763711232,29723,3,49.110467821840814
38,6645,69.30638316988993,4.440060087174386,23358,10894,51.977719593989285,2220.678613973237,36004,3,31.253785341645013
39,25832,26.131403297370184,6.693648215286947,11082,17362,53.420514068301834,1902.2588718932057,70820,2,68.46047728822145
40,1609,21.49358892806056,11.51613643385062,19647,16561,31.355845649986016,3004.896254513304,71041,3,72.97446715733324
41,4749,53.07482244071971,14.496813392358696,13979,47754,49.72344145820969,3890.5749608847846,28808,1,74.49794504383219
42,23713,84.02436270535806,6.685401788426102,8432,40925,48.30617715569625,1105.9597651014396,38413,1,25.28153915916851
43,25713,23.772198831848364,11.83420402971204,21244,7355,52.90995986096129,3462.6863436400854,3526,1,29.425933138829457
44,18482,21.928195091319875,5.465699299576426,18271,44345,33.894937331513866,1019.5488378760676,21876,3,55.84815826695694
45,24587,50.53370956834739,5.032140738942435,13561,581,54.97247828477073,3164.3418154035653,26016,2,53.889046306295455
46,15650,66.96039047380397,21.43403745200671,16545,23438,47.66660987242973,721.4042248718184,69496,2,63.20150970621489
47,18165,40.4844354139872,18.31323431596169,21570,42271,58.488945204445265,1055.2604204272034,22443,3,54.304873658478165
48,3594,38.258661625039935,16.589002183540916,4062,1702,45.5952954327476,3395.597691461854,42176,3,26.075456930456056
49,8663,43.581777398055976,18.550893276601474,11044,66690,71.57509178942402,3702.067998908611,30188,3,38.7887525660282
50,10926,55.791507877055516,19.936560462600784,10170,60759,32.691816528471136,3002.1315221049845,28029,2,40.22730596662265
51,24474,45.80958071212506,9.671728031732643,3544,61783,64.16933366014159,2091.1517122808805,36228,1,78.57264181263238
52,12451,33.98844213295432,12.893249180555632,10559,44050,57.27170169369701,3550.7882706832675,9035,1,66.92344126404696
53,6054,24.81838650491169,16.61330607442537,16552,34683,56.3216572962873,2765.9176750982115,26983,2,66.70482306037532
54,13192,46.55117792307016,20.006484505616598,25333,42987,72.0277778546137,663.2513261999843,21416,1,36.67055072278405
55,9161,61.209978761524674,8.71691509367124,22432,46271,31.28873680090349,3634.1603690334846,12267,1,56.01065264089152
56,14555,42.28174653752444,20.52727367583582,21327,63847,68.69332351558309,1392.184503114752,52884,3,55.22822867244295
57,5013,77.49244571849131,16.117312108685148,5744,23374,60.539562796244155,889.9989428858179,15650,1,40.242694866507335
58,313,87.55583779378513,15.294528061576905,12759,63315,46.11339628135651,2198.021044620151,28675,1,54.61934629806426
59,8866,15.505523094899663,10.001258816582784,2423,65804,71.57049705949666,2842.189184395905,50041,3,56.89209667293221
